round,giver,receiver,tokens,
3,Adam,Jeremiah,0,
3,Adam,Sharon,0,
3,Adam,David,5,
3,Adam,Adam,0,
3,Adam,Samuel,5,
3,Adam,Aaron,0,
3,Adam,Joseph,0,
3,Adam,Melchizedek,6,
3,Samuel,Jeremiah,0,
3,Samuel,Sharon,0,
3,Samuel,David,0,
3,Samuel,Adam,0,
3,Samuel,Samuel,16,
3,Samuel,Aaron,0,
3,Samuel,Joseph,0,
3,Samuel,Melchizedek,0,
3,Aaron,Jeremiah,0,
3,Aaron,Sharon,0,
3,Aaron,David,0,
3,Aaron,Adam,0,
3,Aaron,Samuel,0,
3,Aaron,Aaron,16,
3,Aaron,Joseph,0,
3,Aaron,Melchizedek,0,
3,Aaron,Jeremiah,4,
3,Aaron,Sharon,8,
3,Aaron,David,4,
3,Aaron,Adam,0,
3,Aaron,Samuel,0,
3,Aaron,Aaron,0,
3,Aaron,Joseph,0,
3,Aaron,Melchizedek,0,
4,Sharon,Jeremiah,0,
4,Sharon,Sharon,0,
4,Sharon,David,0,
4,Sharon,Adam,0,
4,Sharon,Samuel,0,
4,Sharon,Aaron,8,
4,Sharon,Joseph,8,
4,Sharon,Melchizedek,0,
4,Samuel,Jeremiah,0,
4,Samuel,Sharon,0,
4,Samuel,David,0,
4,Samuel,Adam,6,
4,Samuel,Samuel,0,
4,Samuel,Aaron,0,
4,Samuel,Joseph,0,
4,Samuel,Melchizedek,10,
4,David,Jeremiah,7,
4,David,Sharon,0,
4,David,David,0,
4,David,Adam,5,
4,David,Samuel,0,
4,David,Aaron,2,
4,David,Joseph,0,
4,David,Melchizedek,2,
4,Jeremiah,Jeremiah,0,
4,Jeremiah,Sharon,0,
4,Jeremiah,David,7,
4,Jeremiah,Adam,0,
4,Jeremiah,Samuel,0,
4,Jeremiah,Aaron,6,
4,Jeremiah,Joseph,3,
4,Jeremiah,Melchizedek,0,
4,Aaron,Jeremiah,8,
4,Aaron,Sharon,8,
4,Aaron,David,0,
4,Aaron,Adam,0,
4,Aaron,Samuel,0,
4,Aaron,Aaron,0,
4,Aaron,Joseph,0,
4,Aaron,Melchizedek,0,
4,Melchizedek,Jeremiah,0,
4,Melchizedek,Sharon,0,
4,Melchizedek,David,5,
4,Melchizedek,Adam,6,
4,Melchizedek,Samuel,5,
4,Melchizedek,Aaron,0,
4,Melchizedek,Joseph,0,
